matrix,topology,scenario,scheduler,num_agents,metric,solver_a,solver_b,n_a,n_b,mean_a,mean_b,mean_diff,t_stat,p_raw,cliffs_d,p_bh,significant_bh_q05
E1_warehouse_dual_dock,warehouse_dual_dock,intermittent_80s80m15r,closest,40,itae,pibt,rhcr_pbs,30,30,29224.295553333344,22490.773893333335,6733.521660000009,8.038740716407652,6.466689010591348e-10,0.7955555555555556,5.017013671953288e-09,True
E1_warehouse_dual_dock,warehouse_dual_dock,intermittent_80s80m15r,closest,40,itae,pibt,token_passing,30,30,29224.295553333344,29492.31000333333,-268.0144499999842,-0.49397030911244333,0.6232575456937617,-0.06,0.7628569743786847,False
E1_warehouse_dual_dock,warehouse_dual_dock,intermittent_80s80m15r,closest,40,itae,rhcr_pbs,token_passing,30,30,22490.773893333335,29492.31000333333,-7001.536109999994,-8.049505619552374,2.934242327293483e-10,-0.7888888888888889,2.417911392194532e-09,True
E1_warehouse_dual_dock,warehouse_dual_dock,intermittent_80s80m15r,closest,40,rapidity,pibt,rhcr_pbs,30,30,0.0,2.1666666666666665,-2.1666666666666665,-1.399862905265578,0.17216183857868148,-0.06666666666666667,0.30424595253203784,False
E1_warehouse_dual_dock,warehouse_dual_dock,intermittent_80s80m15r,closest,40,rapidity,pibt,token_passing,30,30,0.0,0.6666666666666666,-0.6666666666666666,-1.0,0.32558198801619337,-0.03333333333333333,0.48984647544979576,False
E1_warehouse_dual_dock,warehouse_dual_dock,intermittent_80s80m15r,closest,40,rapidity,rhcr_pbs,token_passing,30,30,2.1666666666666665,0.6666666666666666,1.5,0.8900802396707145,0.37882533723421885,0.035555555555555556,0.534901376174717,False
E1_warehouse_dual_dock,warehouse_dual_dock,wear_high,closest,40,attack_rate,pibt,rhcr_pbs,30,30,0.9391666666666667,0.9183333333333334,0.02083333333333326,1.7157516721694306,0.0917330337544131,0.2388888888888889,0.17987978638358917,False
E1_warehouse_dual_dock,warehouse_dual_dock,wear_high,closest,40,attack_rate,pibt,token_passing,30,30,0.9391666666666667,0.8816666666666665,0.05750000000000022,3.988993153966343,0.00022027742362697124,0.53,0.0008099784431283421,True
E1_warehouse_dual_dock,warehouse_dual_dock,wear_high,closest,40,attack_rate,rhcr_pbs,token_passing,30,30,0.9183333333333334,0.8816666666666665,0.03666666666666696,2.3896304326310887,0.020357722533144516,0.2922222222222222,0.04831109952403371,True
E1_warehouse_dual_dock,warehouse_dual_dock,wear_high,closest,40,critical_time,pibt,rhcr_pbs,30,30,0.39790666666666663,0.30144,0.09646666666666665,21.357049749334166,7.314068557668925e-29,1.0,4.694302183376601e-27,True
E1_warehouse_dual_dock,warehouse_dual_dock,wear_high,closest,40,critical_time,pibt,token_passing,30,30,0.39790666666666663,0.4204800000000001,-0.022573333333333445,-4.272648013818211,8.430401261761902e-05,-0.7166666666666667,0.00033531624173543115,True
E1_warehouse_dual_dock,warehouse_dual_dock,wear_high,closest,40,critical_time,rhcr_pbs,token_passing,30,30,0.30144,0.4204800000000001,-0.11904000000000009,-21.48736140206251,2.4051176755996402e-28,-0.9933333333333333,1.476533112150736e-26,True
E1_warehouse_dual_dock,warehouse_dual_dock,wear_high,closest,40,fault_tolerance,pibt,rhcr_pbs,30,30,0.17583333333333334,0.19749333333333333,-0.021659999999999985,-1.841791016631159,0.07065482539499171,-0.25222222222222224,0.14500670560716322,False
E1_warehouse_dual_dock,warehouse_dual_dock,wear_high,closest,40,fault_tolerance,pibt,token_passing,30,30,0.17583333333333334,0.18508333333333335,-0.009250000000000008,-0.7962775045705638,0.42912929658146726,-0.07222222222222222,0.5826255449740689,False
E1_warehouse_dual_dock,warehouse_dual_dock,wear_high,closest,40,fault_tolerance,rhcr_pbs,token_passing,30,30,0.19749333333333333,0.18508333333333335,0.012409999999999977,1.0261066733950115,0.3091040953930678,0.17444444444444446,0.47528227849218313,False
E1_warehouse_dual_dock,warehouse_dual_dock,wear_high,closest,40,itae,pibt,rhcr_pbs,30,30,44394.62222999999,34398.94999666667,9995.672233333324,10.073800188557012,2.6750812264589282e-14,0.96,3.815368375515158e-13,True
E1_warehouse_dual_dock,warehouse_dual_dock,wear_high,closest,40,itae,pibt,token_passing,30,30,44394.62222999999,46764.146666666675,-2369.524436666681,-2.121986307457262,0.038496155262713966,-0.33555555555555555,0.08506505669945559,False
E1_warehouse_dual_dock,warehouse_dual_dock,wear_high,closest,40,itae,rhcr_pbs,token_passing,30,30,34398.94999666667,46764.146666666675,-12365.196670000005,-10.638350948222106,4.742170881024894e-15,-0.9377777777777778,7.785982888380407e-14,True
E1_warehouse_dual_dock,warehouse_dual_dock,wear_high,closest,40,rapidity,pibt,rhcr_pbs,30,30,0.16666666666666666,0.06666666666666667,0.09999999999999999,0.5570860145311555,0.580731215109836,0.0011111111111111111,0.7184421860987092,False
E1_warehouse_dual_dock,warehouse_dual_dock,wear_high,closest,40,rapidity,pibt,token_passing,30,30,0.16666666666666666,2.1666666666666665,-1.9999999999999998,-0.9203579866168443,0.3648906662794273,-0.0011111111111111111,0.5214834218487361,False
E1_warehouse_dual_dock,warehouse_dual_dock,wear_high,closest,40,rapidity,rhcr_pbs,token_passing,30,30,0.06666666666666667,2.1666666666666665,-2.0999999999999996,-0.9687722872896796,0.3406545857646526,-0.0011111111111111111,0.49741910558396013,False
E1_warehouse_dual_dock,warehouse_dual_dock,wear_medium,closest,40,attack_rate,pibt,rhcr_pbs,30,30,0.56,0.4791666666666667,0.08083333333333337,3.9085695831216585,0.0002658119880459337,0.4955555555555556,0.0009673364101053051,True
E1_warehouse_dual_dock,warehouse_dual_dock,wear_medium,closest,40,attack_rate,pibt,token_passing,30,30,0.56,0.48500000000000004,0.07500000000000001,3.2563796872276662,0.0020634198249789917,0.48777777777777775,0.006082565329583166,True
E1_warehouse_dual_dock,warehouse_dual_dock,wear_medium,closest,40,attack_rate,rhcr_pbs,token_passing,30,30,0.4791666666666667,0.48500000000000004,-0.005833333333333357,-0.2264901478729245,0.8216356186722094,-0.01,0.9099211714236547,False
