solver,topology,scenario,scheduler,num_agents,seed,is_baseline,avg_throughput,total_tasks,unassigned_ratio,wait_ratio,fault_tolerance,critical_time,deficit_recovery,throughput_recovery,mtbf,recovery_tick,survival_rate,impacted_area,deficit_integral,cascade_depth_avg,cascade_spread_avg,structural_cascade_avg,structural_cascade_max,mitigation_delta_avg,itae,rapidity,attack_rate,fleet_utilization,pbs_partial_rate,solver_step_avg_us,solver_step_max_us,wall_time_ms
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,2048,true,0.2700,81,0.0025,0.8099,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.0000,1.0000,0.9267,310613.6,1653335.0,93189
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,2048,false,0.2700,81,0.0025,0.8099,1.0000,0.0050,50.00,1.00,,174,1.0000,0.0000,50,0.00,1.00,7.70,9.00,-6.70,24.0000,,0.0926,1.0000,0.9267,299556.0,1414645.0,90124
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,2048,true,0.7567,227,0.0073,0.4328,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.0000,1.0000,0.9000,1978227.4,9335256.0,593480
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,2048,false,1.1200,336,0.0106,0.1972,2.1010,0.0945,88.00,1.00,,214,1.0000,48.0176,1707,0.08,1.08,5.97,9.00,-4.89,3332.4667,,0.3796,0.9903,0.6867,1115208.7,9290424.0,335325
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,2048,true,1.1467,344,0.0125,0.1630,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.0000,1.0000,0.8667,2132160.9,16001813.0,639653
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,2048,false,1.1433,343,0.0126,0.1803,0.9955,0.1144,,1.00,,,1.0000,-0.2907,3861,0.09,1.09,6.74,10.00,-5.65,6934.5000,,0.2315,0.9881,0.8467,4181299.1,24544215.0,1254829
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,2048,true,1.2033,361,0.0128,0.1140,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.0000,1.0000,0.7733,42497123.4,1077458680.0,12749144
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,2048,false,1.1167,335,0.0121,0.1857,0.8912,0.1393,,1.00,,,1.0000,-7.2022,4994,0.10,1.10,6.42,12.00,-5.32,7824.5667,,0.3148,0.9885,0.7067,29552186.1,169525817.0,8866326
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,3141,true,1.2400,372,0.0121,0.1075,1.0000,,0.00,0.00,,,1.0000,0.0000,0,0.00,0.00,0.00,0.00,0.00,0.0000,0.00,0.0000,1.0000,0.7533,9775394.5,58651739.0,2932623
rhcr_pbs,warehouse_single_dock_w2,zone_50t,closest,108,3141,false,1.1800,354,0.0115,0.1581,0.9289,0.1144,,1.00,,,1.0000,-4.8387,3875,0.00,1.00,4.14,8.00,-3.14,7372.3333,,0.2593,0.9886,0.6133,6612157.9,54036634.0,1983933
